doc_key	section_key	type	carriers	norm_count	restate	codex	note
implementation-django-skill	s001	REF	none	2	Y:implementation-django-skill/s003	SAME	[adv 중재 정정 2026-08-19] DIFF→SAME — SKILL 잔차 2행은 전부 s004 fat model 소속 실측
implementation-django-skill	s002	NAR	none	0	N	SAME	h1 헤딩만(본문 없음). P0 절 목록에 없음
implementation-django-skill	s003	REF	none	7	N	SAME	로드 조건 1+경계 위임 bullet 6. codex 차이는 스킬명 표기 치환뿐(SAME 처리)
implementation-django-skill	s004	REF	none	12	Y:implementation-django-final/s015-2.5+s024-4.1+s075~s079	DIFF	final 규칙 압축 재진술(P0 발견 7). codex는 fat model bullet이 구본(4계층 domain_layer 소유 규범 부재)
implementation-django-skill	s005	REF	table	2	N	SAME	주제→§ 라우팅 표 15행(P0 규약대로 문장으로 안 셈)
implementation-django-final	s001	NAR	none	0	N	SAME	문서 h1만. P0 절 목록에 없음
implementation-django-final	s002	NAR	none	0	N	SAME	목차(링크 리스트 — 표 아님)
implementation-django-final	s003-1	REF	none	1	N	SAME	«모든 Django 코드 작성의 기반이다» — 프레이밍이나 보수적 포함(P0 애매—포함)
implementation-django-final	s004-1.1	REF	table	4	N	SAME	표 6행 중 의무 표지 4행만 규범(Less Code·DRY·Explicit·Consistency)
implementation-django-final	s005-1.2	REF	none	3	N	SAME	-
implementation-django-final	s006-1.3	REF	table	2	N	SAME	«save() 명시적 호출 필요» 애매—포함(P0)
implementation-django-final	s007-1.4	REF	none	3	N	SAME	-
implementation-django-final	s008-1.5	REF	none	2	N	SAME	-
implementation-django-final	s009-1.6	REF	none	3	N	SAME	-
implementation-django-final	s010-2	NAR	none	0	N	SAME	프레이밍 1문장뿐(P0 §2 도입 계수 0)
implementation-django-final	s011-2.1	REF	none	3	N	SAME	black·88/79자·들여쓰기 — 결정적 도구 언급 있으나 백스톱 미지목
implementation-django-final	s012-2.2	REF	code	4	N	SAME	그룹 순서 규칙은 코드 펜스가 예시 운반
implementation-django-final	s013-2.3	REF	code	3	N	SAME	규범 3개 전부 코드 주석에 실림(P0)
implementation-django-final	s014-2.4	REF	code	1	N	SAME	모델 내부 정의 순서 1~7 — 규칙 전체가 코드 주석 형태
implementation-django-final	s015-2.5	REF	code	12	N	SAME	Choices 계층 소유 단일 출처 절(원본). 사본 6곳+(P0 발견 6) — 사본 측에 Y 표기
implementation-django-final	s016-2.6	REF	none	1	N	SAME	전문 위임(implementation-django-web §4)
implementation-django-final	s017-2.7	REF	code	1	N	SAME	«첫 매개변수 반드시 request» — 코드 주석 형태
implementation-django-final	s018-3	NAR	none	0	N	SAME	장 헤딩만 — P0 절 목록에 없음(접기)
implementation-django-final	s019-3.1	REF	code	4	N	SAME	트리는 코드 펜스. blockquote 2개에 소유 위임 규범(implementation-test §4.2·discipline-houserules)
implementation-django-final	s020-3.2	REF	code	3	N	SAME	-
implementation-django-final	s021-3.3	REF	code	2	N	SAME	-
implementation-django-final	s022-3.4	REF	code	1	N	SAME	규칙은 좋은/나쁜 예 코드로 표현
implementation-django-final	s023-4	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s024-4.1	REF	code	4	N	SAME	blockquote가 절 전체를 평면 Django 한정으로 조건화+blocker 선언(architecture-ddd §3.2 소유)
implementation-django-final	s025-4.2	NAR	none	0	N	SAME	§4.2 도입문만(«세 가지 모델 상속 제공»). P0 §4.2(3규범)는 h4 셋 접은 계수 — s026·s027에 분배
implementation-django-final	s026	REF	code	1	N	SAME	Abstract Base Class 권장(P0 §4.2 분배 1)
implementation-django-final	s027	REF	code	2	N	SAME	MTI 주의+Abstract+FK 우선(P0 §4.2 분배 2)
implementation-django-final	s028	NAR	code	0	N	SAME	Proxy Model — 설명·예제 전용(P0 §4.2 분배 0)
implementation-django-final	s029-4.3	REF	code	4	Y:implementation-django-final/s015-2.5	SAME	도메인 판정 시 §2.5 계층 소유로 전환 — P0가 재진술로 명기(발견 6)
implementation-django-final	s030-4.4	REF	code	3	N	SAME	-
implementation-django-final	s031-5	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s032-5.1	REF	code	2	Y:implementation-django-final/s015-2.5	SAME	소비 규율 재진술이 코드 주석에(P0 발견 6)
implementation-django-final	s033-5.2	REF	code,table	3	N	SAME	관계 유형→메서드 선택 표 3행이 규범
implementation-django-final	s034-5.3	REF	code	1	N	SAME	-
implementation-django-final	s035-5.4	REF	code	1	N	SAME	P0는 alias() 1건만 계수(annotate/filter 순서 문장은 설명 판정)
implementation-django-final	s036-5.5	REF	code	1	N	SAME	규범이 좋은/나쁜 예로만 표현
implementation-django-final	s037-6	REF	none	3	N	SAME	본문 전체가 위임 문단(web §2·ninja·architecture-api)
implementation-django-final	s038-7	REF	none	3	N	SAME	위임+durable invariant 경계 보장
implementation-django-final	s039-8	REF	none	5	N	SAME	greenfield 기본 경로=Ninja·DRF 유지보수 한정 — 장 도입인데 규범 밀도 높음
implementation-django-final	s040-8.1	REF	code	3	N	SAME	-
implementation-django-final	s041-8.2	REF	code	2	N	SAME	-
implementation-django-final	s042-8.3	REF	code	3	N	SAME	-
implementation-django-final	s043-8.4	REF	code	1	N	SAME	-
implementation-django-final	s044-8.5	REF	code	2	N	SAME	AcceptHeader 관행 애매—포함(P0)
implementation-django-final	s045-9	REF	none	1	N	SAME	«올바른 사용 시나리오를 명확히 알아야 한다»(P0 §9 도입)
implementation-django-final	s046-9.1	REF	code	5	N	SAME	blockquote 인용구: BC 경계 간은 published_event/·event_subscription/ 소유(#89·#90)
implementation-django-final	s047-9.2	REF	code	4	N	SAME	코드 주석에 §16.4 전제 규범 1 포함
implementation-django-final	s048-10	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s049-10.1	REF	code	4	N	SAME	4규칙 전부 코드 블록 주석 형태
implementation-django-final	s050-10.2	REF	code	6	N	SAME	§11.1·§11.2 인용이 문서 한정자 없이 architecture-db 절 번호를 지시(표류 — P0 발견 1)
implementation-django-final	s051-10.3	REF	code	3	N	SAME	-
implementation-django-final	s052-10.4	REF	code	14	N	SAME	유일 백스톱 지목 절(check-db-table.py — 부분 커버). historical value 동결은 §2.5 .value 평탄화와 연동(동형 원리·재진술 아님 판정)
implementation-django-final	s053-11	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s054-11.1	REF	code	2	N	SAME	query-count 테스트 입장 심사 조건(원본 — 사본은 s069-14.3)
implementation-django-final	s055-11.2	REF	code	3	Y:implementation-django-final/s015-2.5	SAME	코드 주석의 소비 규율 재진술(P0 발견 6). §10.2 번호 충돌의 피해자 절
implementation-django-final	s056-11.3	REF	code	1	N	SAME	좋은/나쁜 예 형태
implementation-django-final	s057-11.4	REF	code	2	N	SAME	좋은/나쁜 예 형태
implementation-django-final	s058-12	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
